full_id,num_qpos,first_freq,first_width,first_norm,first_rms_power,second_freq,second_width,second_norm,second_rms_power,third_freq,third_width,third_norm,third_rms_power,confidence_class
1050360103_0,0.0,,,,,,,,,,,,,0
1050360103_1,0.0,,,,,,,,,,,,,0
1050360103_2,0.0,,,,,,,,,,,,,0
1050360104_0,2.0,2.562282894731964,0.230605,0.00205078,0.0142375715173115,5.082702808891011,0.559012,0.00108073,0.0016453190146882,,,,,0
1050360104_1,3.0,2.50629014854108,0.240978,0.00337472,0.0083090485568195,5.082702808891011,0.460128,0.00112195,0.0019159727898524,6.065415534340013,0.547933,0.000486566,0.0010244460114103,3
1050360104_11,2.0,2.648626212505812,0.238384,0.00271215,0.0095886355248206,5.196254900418639,0.46767,0.000906836,0.0021168593485017,,,,,0
1050360104_12,2.0,2.478754307284725,0.2230889999999999,0.00276731,0.0142669182547957,4.917010337183983,0.449641,0.00101921,0.0019424179367026,,,,,0
1050360104_13,2.0,2.371603165072989,0.213481,0.00296896,0.0086213576024585,4.652772259887851,0.511656,0.00094656,0.0016586248968277,,,,,0
1050360104_14,2.0,2.5907466334881044,0.233168,0.00290181,0.0106773930974348,5.082702808891011,0.543941,0.0010672,0.0021853870690648,,,,,0
1050360104_5,2.0,2.7682935026079525,0.249155,0.00225595,0.0071616105939334,5.5523602705048924,0.510836,0.000917437,0.0014122649868476,,,,,0
1050360104_6,2.0,2.8301396362503914,0.254781,0.00199935,0.0059667106169522,5.614040006393758,0.505264,0.00109313,0.0020598549665955,,,,,0
1050360104_7,2.0,2.6195265685649725,0.235785,0.00204285,0.0055838212974135,5.2539787537448746,0.577857,0.000787194,0.0012897107115094,,,,,0
1050360104_8,2.0,2.562282894731964,0.273658,0.00331784,0.0071978509332597,5.082702808891011,0.558775,0.00103829,0.0015176637769162,,,,,1
1050360104_9,2.0,2.6195265685649725,0.235758,0.00240296,0.0092435377249672,5.139165241366684,0.519293,0.000939848,0.0014935496700171,,,,,0
1050360105_1,2.0,2.7682935026079525,0.249203,0.00265506,0.007377236615102,5.614040006393758,0.605662,0.000943995,0.0011505221920551,,,,,1
1050360105_15,2.0,2.7378791108492084,0.246423,0.00285431,0.0086104887823894,5.5523602705048924,0.499746,0.000976088,0.0014322341798599,,,,,0
1050360105_16,2.0,2.397948691971156,0.2158219999999999,0.00304889,0.0113600021012565,4.862988652512174,0.462521,0.00103687,0.002131814930642,,,,,1
1050360105_17,2.0,2.45152099387182,0.22073,0.00292712,0.0083774254845808,4.971632134795246,0.516159,0.000954846,0.0018302390572735,,,,,0
1050360105_18,2.0,2.269083933028201,0.204228,0.0031053,0.011477449507627,4.501095216193277,0.405122,0.000999354,0.002357312174963,,,,,0
1050360105_19,2.0,2.345547088399452,0.211101,0.00274364,0.0115563371475628,4.652772259887851,0.419105,0.000944798,0.0022749760732262,,,,,0
1050360105_2,2.0,2.7682935026079525,0.2491519999999999,0.00226922,0.0064868091589035,5.491358190958871,0.494493,0.000905277,0.0016377524816478,,,,,0
1050360105_21,2.0,2.5907466334881044,0.284944,0.0044122,0.0066715388345985,5.026860711845576,0.550002,0.00101799,0.0016844004254655,,,,,3
1050360105_23,2.0,2.7682935026079525,0.304511,0.00557228,0.0089109621270626,5.491358190958871,0.604049,0.00295505,0.0016802160269336,,,,,2
1050360105_26,2.0,2.478754307284725,0.223097,0.00254692,0.0096608856489024,4.862988652512174,0.444946,0.00092836,0.0017779989475197,,,,,1
1050360105_28,2.0,1.987358326967936,0.178887,0.00294297,0.013078742322519,3.898934623781784,0.4288119999999999,0.00109463,0.0023879233070217,,,,,0
1050360105_29,2.0,1.799266079195872,0.161938,0.00331498,0.0157175712964651,3.608784070324455,0.396863,0.00108125,0.0027532678298702,,,,,0
