observation_ID,num_qpos,first_freq,first_width,first_norm,first_rms_power,second_freq,second_width,second_norm,second_rms_power,third_freq,third_width,third_norm,third_rms_power,confidence_class
1050360103_0,0.0,,,,,,,,,,,,,0
1050360103_1,0.0,,,,,,,,,,,,,0
1050360103_2,0.0,,,,,,,,,,,,,0
1050360104_0,2.0,2.562282894731964,0.230605,0.00205078,0.01423757151731152,5.082702808891011,0.559012,0.00108073,0.0016453190146882464,,,,,0
1050360104_1,3.0,2.50629014854108,0.24097800000000005,0.00337472,0.008309048556819538,5.082702808891011,0.460128,0.00112195,0.0019159727898524922,6.065415534340013,0.547933,0.000486566,0.0010244460114103477,3
1050360104_11,2.0,2.648626212505812,0.238384,0.00271215,0.009588635524820664,5.196254900418639,0.46767,0.0009068360000000001,0.002116859348501739,,,,,0
1050360104_12,2.0,2.478754307284725,0.22308899999999998,0.00276731,0.014266918254795759,4.917010337183983,0.449641,0.00101921,0.0019424179367026914,,,,,0
1050360104_13,2.0,2.371603165072989,0.213481,0.00296896,0.008621357602458501,4.652772259887851,0.511656,0.00094656,0.001658624896827791,,,,,0
1050360104_14,2.0,2.5907466334881044,0.233168,0.00290181,0.010677393097434807,5.082702808891011,0.543941,0.0010672000000000001,0.002185387069064822,,,,,0
1050360104_5,2.0,2.7682935026079525,0.24915500000000002,0.00225595,0.007161610593933492,5.5523602705048924,0.510836,0.000917437,0.0014122649868476287,,,,,0
1050360104_6,2.0,2.8301396362503914,0.254781,0.00199935,0.005966710616952239,5.614040006393758,0.505264,0.00109313,0.0020598549665955587,,,,,0
1050360104_7,2.0,2.6195265685649725,0.235785,0.00204285,0.005583821297413574,5.2539787537448746,0.577857,0.000787194,0.0012897107115094615,,,,,0
1050360104_8,2.0,2.562282894731964,0.273658,0.00331784,0.007197850933259799,5.082702808891011,0.558775,0.00103829,0.001517663776916286,,,,,1
1050360104_9,2.0,2.6195265685649725,0.235758,0.00240296,0.00924353772496728,5.139165241366684,0.519293,0.0009398480000000001,0.0014935496700171035,,,,,0
1050360105_1,2.0,2.7682935026079525,0.249203,0.00265506,0.007377236615102069,5.614040006393758,0.605662,0.000943995,0.0011505221920551085,,,,,1
1050360105_15,2.0,2.7378791108492084,0.246423,0.00285431,0.008610488782389462,5.5523602705048924,0.499746,0.0009760880000000001,0.001432234179859932,,,,,0
1050360105_16,2.0,2.397948691971156,0.21582199999999999,0.00304889,0.0113600021012565,4.862988652512174,0.462521,0.00103687,0.0021318149306420327,,,,,1
1050360105_17,2.0,2.45152099387182,0.22073,0.00292712,0.008377425484580828,4.971632134795246,0.516159,0.0009548460000000001,0.0018302390572735871,,,,,0
1050360105_18,2.0,2.269083933028201,0.204228,0.0031053,0.011477449507627076,4.501095216193277,0.405122,0.000999354,0.002357312174963061,,,,,0
1050360105_19,2.0,2.345547088399452,0.211101,0.00274364,0.01155633714756285,4.652772259887851,0.419105,0.0009447980000000001,0.002274976073226231,,,,,0
1050360105_2,2.0,2.7682935026079525,0.24915199999999998,0.00226922,0.0064868091589035115,5.491358190958871,0.494493,0.000905277,0.0016377524816478515,,,,,0
1050360105_21,2.0,2.5907466334881044,0.28494400000000003,0.0044122,0.006671538834598591,5.026860711845576,0.550002,0.00101799,0.001684400425465593,,,,,3
1050360105_23,2.0,2.7682935026079525,0.30451100000000003,0.00557228,0.00891096212706265,5.491358190958871,0.604049,0.00295505,0.0016802160269336786,,,,,2
1050360105_26,2.0,2.478754307284725,0.223097,0.00254692,0.009660885648902459,4.862988652512174,0.444946,0.00092836,0.0017779989475197296,,,,,1
1050360105_28,2.0,1.9873583269679362,0.178887,0.00294297,0.013078742322519085,3.8989346237817837,0.42881199999999997,0.00109463,0.002387923307021761,,,,,0
